#!,Workbook:,Custom,Custom,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,
#!,For more information visit http://aka.ms/hackingstem/,,,
1300,1300,1300,1300,4.9
1300,1300,1300,1300,5.46
1300,1300,1300,1300,5.34
1300,1300,1300,1300,4.65
1300,1300,1300,1300,3.46
1300,1300,1300,1300,2.53
1300,1300,1300,1300,1.59
1300,1300,1300,1300,1.09
1300,1300,1300,1300,0.96
1300,1300,1300,1300,0.9
1300,1300,1300,1300,0.96
1300,1300,1300,1300,1.09
1300,1300,1300,1300,1.4
1300,1300,1300,1300,1.71
1300,1300,1300,1300,2.03
1300,1300,1300,1300,2.34
1300,1300,1300,1300,2.53
1300,1300,1300,1300,2.59
1300,1300,1300,1300,2.4
1300,1300,1300,1300,2.15
1300,1300,1300,1300,1.84
1300,1300,1300,1300,1.46
1300,1300,1300,1300,0.9
1300,1300,1300,1300,-0.04
1300,1300,1300,1300,-1.16
1300,1300,1300,1300,-2.23
1300,1300,1300,1300,-2.73
1300,1300,1300,1300,-2.73
1300,1300,1300,1300,-2.23
1300,1300,1300,1300,-1.47
1300,1300,1300,1300,-1.29
1300,1300,1300,1300,-1.47
1300,1300,1300,1300,-1.47
1300,1300,1300,1300,-1.47
1300,1300,1300,1300,-1.41
1300,1300,1300,1300,-1.1
1300,1300,1300,1300,-0.54
1300,1300,1300,1300,0.03
1300,1300,1300,1300,0.4
1300,1300,1300,1300,0.65
1300,1300,1300,1300,0.78
1300,1300,1300,1300,0.65
1300,1300,1300,1300,0.46
1300,1300,1300,1300,0.09
1300,1300,1300,1300,-0.41
1300,1300,1300,1300,-0.72
1300,1300,1300,1300,-0.72
1300,1300,1300,1300,-0.6
1300,1300,1300,1300,-0.35
1300,1300,1300,1300,0.03
1300,1300,1300,1300,0.28
1300,1300,1300,1300,0.46
1300,1300,1300,1300,0.59
1300,1300,1300,1300,0.78
1300,1300,1300,1300,0.65
1300,1300,1300,1300,0.46
1300,1300,1300,1300,0.09
