,,,,kp,3,,kd,1.5
,,,,ki,0.05,,,
,,,,p,i,d,pid,
-5.09,5.09,0.02,,-15.27,,,,
-5.72,5.72,0.02,,-17.16,,,,
-6.28,6.28,0.02,,-18.84,,,,
-6.47,6.47,0.02,,-19.41,,,,
-6.59,6.59,0.02,,-19.77,,,,
-6.53,6.53,0.02,,-19.59,,,,
-6.28,6.28,0.02,,-18.84,,,,
-5.97,5.97,0.02,,-17.91,,,,
-5.28,5.28,0.02,,-15.84,,,,
-4.53,4.53,0.02,,-13.59,,,,
-3.47,3.47,0.02,,-10.41,,,,
-2.85,2.85,0.02,,-8.55,,,,
-1.66,1.66,0.02,,-4.98,,,,
-0.28,0.28,0.02,,-0.84,,,,
1.03,-1.03,0.02,,3.09,,,,
1.59,-1.59,0.02,,4.77,,,,
2.91,-2.91,0.02,,8.73,,,,
4.03,-4.03,0.02,,12.09,,,,
4.91,-4.91,0.02,,14.73,,,,
5.47,-5.47,0.02,,16.41,,,,
5.78,-5.78,0.02,,17.34,,,,
5.97,-5.97,0.02,,17.91,,,,
5.72,-5.72,0.02,,17.16,,,,
5.16,-5.16,0.02,,15.48,,,,
4.84,-4.84,0.02,,14.52,,,,
3.84,-3.84,0.02,,11.52,,,,
2.41,-2.41,0.02,,7.23,,,,
0.72,-0.72,0.02,,2.16,,,,
-0.22,0.22,0.02,,-0.66,,,,
-2.22,2.22,0.02,,-6.66,,,,
-4.41,4.41,0.02,,-13.23,,,,
-6.66,6.66,0.02,,-19.98,,,,
-7.72,7.72,0.02,,-23.16,,,,
-9.72,9.72,0.02,,-29.16,,,,
-11.6,11.6,0.02,,-34.8,,,,
-13.22,13.22,0.02,,-39.66,,,,
-14.41,14.41,0.02,,-43.23,,,,
-15.1,15.1,0.02,,-45.3,,,,
-15.28,15.28,0.02,,-45.84,,,,
-14.85,14.85,0.02,,-44.55,,,,
-13.91,13.91,0.02,,-41.73,,,,
-12.41,12.41,0.02,,-37.23,,,,
-10.41,10.41,0.02,,-31.23,,,,
-7.97,7.97,0.02,,-23.91,,,,
-6.66,6.66,0.02,,-19.98,,,,
-3.66,3.66,0.02,,-10.98,,,,
-0.47,0.47,0.02,,-1.41,,,,
2.66,-2.66,0.02,,7.98,,,,
4.28,-4.28,0.02,,12.84,,,,
7.47,-7.47,0.02,,22.41,,,,
10.34,-10.34,0.02,,31.02,,,,
12.9,-12.9,0.02,,38.7,,,,
15.03,-15.03,0.02,,45.09,,,,
16.72,-16.72,0.02,,50.16,,,,
17.72,-17.72,0.02,,53.16,,,,
18.09,-18.09,0.02,,54.27,,,,
17.78,-17.78,0.02,,53.34,,,,
16.72,-16.72,0.02,,50.16,,,,
14.84,-14.84,0.02,,44.52,,,,
12.09,-12.09,0.02,,36.27,,,,
8.78,-8.78,0.02,,26.34,,,,
6.91,-6.91,0.02,,20.73,,,,
2.78,-2.78,0.02,,8.34,,,,
-1.53,1.53,0.02,,-4.59,,,,
-6.41,6.41,0.02,,-19.23,,,,
-8.66,8.66,0.02,,-25.98,,,,
-13.53,13.53,0.02,,-40.59,,,,
-18.22,18.22,0.02,,-54.66,,,,
-22.66,22.66,0.02,,-67.98,,,,
-26.66,26.66,0.02,,-79.98,,,,
-30.09,30.09,0.02,,-90.27,,,,
-33.1,33.1,0.02,,-99.3,,,,
-35.78,35.78,0.02,,-107.34,,,,
-37.91,37.91,0.02,,-113.73,,,,
-39.66,39.66,0.02,,-118.98,,,,
-40.91,40.91,0.02,,-122.73,,,,
-41.72,41.72,0.02,,-125.16,,,,
-41.97,41.97,0.02,,-125.91,,,,
-41.66,41.66,0.02,,-124.98,,,,
-40.78,40.78,0.02,,-122.34,,,,
-39.28,39.28,0.02,,-117.84,,,,
-37.16,37.16,0.02,,-111.48,,,,
-34.6,34.6,0.02,,-103.8,,,,
-31.78,31.78,0.02,,-95.34,,,,
-28.66,28.66,0.02,,-85.98,,,,
-25.22,25.22,0.02,,-75.66,,,,
-21.34,21.34,0.02,,-64.02,,,,
-17.34,17.34,0.02,,-52.02,,,,
-13.28,13.28,0.02,,-39.84,,,,
-9.03,9.03,0.02,,-27.09,,,,
-6.59,6.59,0.02,,-19.77,,,,
-2.41,2.41,0.02,,-7.23,,,,
1.78,-1.78,0.02,,5.34,,,,
3.84,-3.84,0.02,,11.52,,,,
7.66,-7.66,0.02,,22.98,,,,
10.78,-10.78,0.02,,32.34,,,,
13.28,-13.28,0.02,,39.84,,,,
15.09,-15.09,0.02,,45.27,,,,
16.03,-16.03,0.02,,48.09,,,,
16.22,-16.22,0.02,,48.66,,,,
15.47,-15.47,0.02,,46.41,,,,
13.84,-13.84,0.02,,41.52,,,,
11.53,-11.53,0.02,,34.59,,,,
8.34,-8.34,0.02,,25.02,,,,
4.53,-4.53,0.02,,13.59,,,,
2.47,-2.47,0.02,,7.41,,,,
-1.97,1.97,0.02,,-5.91,,,,
-6.91,6.91,0.02,,-20.73,,,,
-12.16,12.16,0.02,,-36.48,,,,
-17.59,17.59,0.02,,-52.77,,,,
-22.84,22.84,0.02,,-68.52,,,,
-27.84,27.84,0.02,,-83.52,,,,
-32.41,32.41,0.02,,-97.23,,,,
-34.35,34.35,0.02,,-103.05,,,,
-38.47,38.47,0.02,,-115.41,,,,
-42.1,42.1,0.02,,-126.3,,,,
-45.22,45.22,0.02,,-135.66,,,,
-47.97,47.97,0.02,,-143.91,,,,
-50.28,50.28,0.02,,-150.84,,,,
-51.97,51.97,0.02,,-155.91,,,,
-52.91,52.91,0.02,,-158.73,,,,
-53.22,53.22,0.02,,-159.66,,,,
-52.78,52.78,0.02,,-158.34,,,,
-51.66,51.66,0.02,,-154.98,,,,
-49.78,49.78,0.02,,-149.34,,,,
-47.47,47.47,0.02,,-142.41,,,,
-44.53,44.53,0.02,,-133.59,,,,
-41.03,41.03,0.02,,-123.09,,,,
-37.35,37.35,0.02,,-112.05,,,,
-33.22,33.22,0.02,,-99.66,,,,
-28.59,28.59,0.02,,-85.77,,,,
-23.78,23.78,0.02,,-71.34,,,,
-19.16,19.16,0.02,,-57.48,,,,
-14.53,14.53,0.02,,-43.59,,,,
-10.22,10.22,0.02,,-30.66,,,,
-6.34,6.34,0.02,,-19.02,,,,
-2.97,2.97,0.02,,-8.91,,,,
-1.66,1.66,0.02,,-4.98,,,,
0.72,-0.72,0.02,,2.16,,,,
2.28,-2.28,0.02,,6.84,,,,
3.16,-3.16,0.02,,9.48,,,,
3.34,-3.34,0.02,,10.02,,,,
3.03,-3.03,0.02,,9.09,,,,
2.03,-2.03,0.02,,6.09,,,,
0.28,-0.28,0.02,,0.84,,,,
-0.66,0.66,0.02,,-1.98,,,,
-3.35,3.35,0.02,,-10.05,,,,
-6.41,6.41,0.02,,-19.23,,,,
-9.78,9.78,0.02,,-29.34,,,,
-11.72,11.72,0.02,,-35.16,,,,
-15.6,15.6,0.02,,-46.8,,,,
-19.59,19.59,0.02,,-58.77,,,,
-23.53,23.53,0.02,,-70.59,,,,
-27.34,27.34,0.02,,-82.02,,,,
-30.97,30.97,0.02,,-92.91,,,,
-34.35,34.35,0.02,,-103.05,,,,
-37.28,37.28,0.02,,-111.84,,,,
-39.78,39.78,0.02,,-119.34,,,,
-41.72,41.72,0.02,,-125.16,,,,
-43.03,43.03,0.02,,-129.09,,,,
-43.66,43.66,0.02,,-130.98,,,,
-43.6,43.6,0.02,,-130.8,,,,
-42.91,42.91,0.02,,-128.73,,,,
-41.41,41.41,0.02,,-124.23,,,,
-39.16,39.16,0.02,,-117.48,,,,
-36.35,36.35,0.02,,-109.05,,,,
-32.91,32.91,0.02,,-98.73,,,,
-29.03,29.03,0.02,,-87.09,,,,
-24.66,24.66,0.02,,-73.98,,,,
-19.91,19.91,0.02,,-59.73,,,,
-15.03,15.03,0.02,,-45.09,,,,
-9.97,9.97,0.02,,-29.91,,,,
-5.03,5.03,0.02,,-15.09,,,,
-2.6,2.6,0.02,,-7.8,,,,
1.97,-1.97,0.02,,5.91,,,,
6.16,-6.16,0.02,,18.48,,,,
9.72,-9.72,0.02,,29.16,,,,
11.4,-11.4,0.02,,34.2,,,,
13.84,-13.84,0.02,,41.52,,,,
15.53,-15.53,0.02,,46.59,,,,
16.47,-16.47,0.02,,49.41,,,,
16.34,-16.34,0.02,,49.02,,,,
15.53,-15.53,0.02,,46.59,,,,
13.84,-13.84,0.02,,41.52,,,,
11.47,-11.47,0.02,,34.41,,,,
8.53,-8.53,0.02,,25.59,,,,
4.97,-4.97,0.02,,14.91,,,,
0.97,-0.97,0.02,,2.91,,,,
-1.1,1.1,0.02,,-3.3,,,,
-5.53,5.53,0.02,,-16.59,,,,
-10.1,10.1,0.02,,-30.3,,,,
-14.6,14.6,0.02,,-43.8,,,,
-18.84,18.84,0.02,,-56.52,,,,
-22.91,22.91,0.02,,-68.73,,,,
-26.41,26.41,0.02,,-79.23,,,,
-29.34,29.34,0.02,,-88.02,,,,
-31.66,31.66,0.02,,-94.98,,,,
-33.78,33.78,0.02,,-101.34,,,,
-35.28,35.28,0.02,,-105.84,,,,
-36.41,36.41,0.02,,-109.23,,,,
-36.97,36.97,0.02,,-110.91,,,,
-37.1,37.1,0.02,,-111.3,,,,
-36.53,36.53,0.02,,-109.59,,,,
-36.1,36.1,0.02,,-108.3,,,,
-34.41,34.41,0.02,,-103.23,,,,
-32.03,32.03,0.02,,-96.09,,,,
-29.28,29.28,0.02,,-87.84,,,,
-25.78,25.78,0.02,,-77.34,,,,
-22.09,22.09,0.02,,-66.27,,,,
-18.03,18.03,0.02,,-54.09,,,,
-13.91,13.91,0.02,,-41.73,,,,
-9.66,9.66,0.02,,-28.98,,,,
-5.47,5.47,0.02,,-16.41,,,,
-1.53,1.53,0.02,,-4.59,,,,
2.03,-2.03,0.02,,6.09,,,,
3.78,-3.78,0.02,,11.34,,,,
6.66,-6.66,0.02,,19.98,,,,
8.9,-8.9,0.02,,26.7,,,,
10.53,-10.53,0.02,,31.59,,,,
11.03,-11.03,0.02,,33.09,,,,
11.59,-11.59,0.02,,34.77,,,,
11.4,-11.4,0.02,,34.2,,,,
10.65,-10.65,0.02,,31.95,,,,
9.28,-9.28,0.02,,27.84,,,,
7.28,-7.28,0.02,,21.84,,,,
4.91,-4.91,0.02,,14.73,,,,
2.03,-2.03,0.02,,6.09,,,,
0.4,-0.4,0.02,,1.2,,,,
-2.78,2.78,0.02,,-8.34,,,,
-6.47,6.47,0.02,,-19.41,,,,
-9.91,9.91,0.02,,-29.73,,,,
-13.47,13.47,0.02,,-40.41,,,,
-15.1,15.1,0.02,,-45.3,,,,
-18.53,18.53,0.02,,-55.59,,,,
-21.66,21.66,0.02,,-64.98,,,,
-24.22,24.22,0.02,,-72.66,,,,
-26.53,26.53,0.02,,-79.59,,,,
-28.59,28.59,0.02,,-85.77,,,,
-30.22,30.22,0.02,,-90.66,,,,
-31.59,31.59,0.02,,-94.77,,,,
-32.41,32.41,0.02,,-97.23,,,,
-32.41,32.41,0.02,,-97.23,,,,
-31.72,31.72,0.02,,-95.16,,,,
-30.41,30.41,0.02,,-91.23,,,,
-28.41,28.41,0.02,,-85.23,,,,
