,,,,kp,ki,kd,,,,,,
,,,,0.2,0,1,,,,,,
,,,,,,,,,,,,
time,error,roll,sample time,p,i,d,pid,,p edited,I edited,d edited,pid edited
3580,0.28,-0.28,0,0.84,0.05,0,0.89,,0.056,0,0,0.056
3604,0.28,-0.28,0.02,0.84,0.05,0,0.89,,0.056,0,0,0.056
3651,0.28,-0.28,0.05,0.84,0.05,0,0.89,,0.056,0,0,0.056
3698,0.28,-0.28,0.05,0.84,0.05,0,0.89,,0.056,0,0,0.056
3744,0.28,-0.28,0.05,0.84,0.05,0,0.89,,0.056,0,0,0.056
3791,0.28,-0.28,0.05,0.84,0.05,0,0.89,,0.056,0,0,0.056
3838,0.28,-0.28,0.05,0.84,0.05,0,0.89,,0.056,0,0,0.056
3885,0.28,-0.28,0.05,0.84,0.05,0,0.89,,0.056,0,0,0.056
3932,0.28,-0.28,0.05,0.84,0.06,0,0.9,,0.056,0,0,0.056
3979,0.28,-0.28,0.05,0.84,0.06,0,0.9,,0.056,0,0,0.056
4025,0.28,-0.28,0.05,0.84,0.06,0,0.9,,0.056,0,0,0.056
4072,0.28,-0.28,0.05,0.84,0.06,0,0.9,,0.056,0,0,0.056
4119,0.28,-0.28,0.05,0.84,0.06,0,0.9,,0.056,0,0,0.056
4166,1.53,-1.53,0.05,4.59,0.06,39.89,44.54,,0.306,0,25,25.306
4214,1.78,-1.78,0.05,5.34,0.07,7.81,13.22,,0.356,0,5,5.356
4262,1.9,-1.9,0.05,5.72,0.07,3.91,9.69,,0.38,0,2.4,2.78
4310,0.47,-0.47,0.05,1.4,0.07,-44.92,-43.45,,0.094,0,-28.6,-28.506
4361,-2.85,2.85,0.05,-8.53,0.06,-97.43,-105.9,,-0.57,0,-66.4,-66.97
4413,-7.84,7.84,0.05,-23.53,0.04,-144.23,-167.72,,-1.568,0,-99.8,-101.368
4468,-14.41,14.41,0.05,-43.22,0,-178.98,-200,,-2.882,0,-131.4,-134.282
4526,-19.16,19.16,0.06,-57.47,-0.05,-122.84,-180.37,,-3.832,0,-79.16666667,-82.99866667
4584,-21.59,21.59,0.06,-64.78,-0.11,-63.04,-127.94,,-4.318,0,-40.5,-44.818
4641,-19.03,19.03,0.06,-57.1,-0.17,67.43,10.17,,-3.806,0,42.66666667,38.86066667
4696,-12.91,12.91,0.05,-38.72,-0.2,167.05,128.12,,-2.582,0,122.4,119.818
4751,-1.78,1.78,0.05,-5.35,-0.21,303.41,200,,-0.356,0,222.6,222.244
4804,8.9,-8.9,0.05,26.71,-0.19,302.48,200,,1.78,0,213.6,215.38
4857,19.28,-19.28,0.05,57.84,-0.13,293.63,200,,3.856,0,207.6,211.456
4913,28.47,-28.47,0.06,85.4,-0.05,246.09,200,,5.694,0,153.1666667,158.8606667
4968,31.97,-31.97,0.05,95.9,0.03,95.45,191.39,,6.394,0,70,76.394
5020,29.65,-29.65,0.05,88.97,0.11,-66.71,22.37,,5.93,0,-46.4,-40.47
5073,21.84,-21.84,0.05,65.53,0.17,-221.11,-155.41,,4.368,0,-156.2,-151.832
5130,6.41,-6.41,0.06,19.21,0.19,-406.25,-200,,1.282,0,-257.1666667,-255.8846667
5184,-9.78,9.78,0.05,-29.35,0.16,-449.65,-200,,-1.956,0,-323.8,-325.756
5239,-26.84,26.84,0.05,-80.53,0.09,-465.34,-200,,-5.368,0,-341.2,-346.568
5297,-44.35,44.35,0.06,-133.04,-0.04,-452.59,-200,,-8.87,0,-291.8333333,-300.7033333
5355,-56.91,56.91,0.06,-170.72,-0.21,-324.89,-200,,-11.382,0,-209.3333333,-220.7153333
5414,-63.72,63.72,0.06,-191.16,-0.4,-173.2,-200,,-12.744,0,-113.5,-126.244
5474,-64.22,64.22,0.06,-192.66,-0.59,-12.5,-200,,-12.844,0,-8.333333333,-21.17733333
5532,-57.35,57.35,0.06,-172.04,-0.75,177.8,5.01,,-11.47,0,114.5,103.03
5587,-47.22,47.22,0.05,-141.66,-0.88,276.14,133.59,,-9.444,0,202.6,193.156
