#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1319.72,1333.46,1326.54,1340.28
1319.72,1333.46,1326.54,1340.28
1319.72,1333.46,1326.54,1340.28
1319.72,1333.46,1326.54,1340.28
1474.80,1253.37,1406.63,1185.20
1331.02,1330.23,1329.77,1328.98
1331.03,1326.52,1333.48,1328.97
1330.38,1332.26,1327.74,1329.62
1332.26,1333.09,1326.91,1327.74
1330.42,1333.07,1326.93,1329.58
1332.95,1334.41,1325.59,1327.05
1334.45,1334.98,1325.02,1325.55
1333.97,1335.88,1324.12,1326.03
1336.71,1331.26,1328.74,1323.29
1336.70,1334.78,1325.22,1323.30
1336.78,1336.13,1323.87,1323.22
1334.63,1332.79,1327.21,1325.37
1334.09,1336.06,1323.94,1325.91
1332.92,1335.26,1324.74,1327.08
1334.23,1332.92,1327.08,1325.77
1334.32,1334.32,1325.68,1325.68
1336.92,1334.43,1325.57,1323.08
1338.61,1335.99,1324.01,1321.39
1340.12,1334.89,1325.11,1319.88
1346.31,1335.21,1324.79,1313.69
1343.33,1334.61,1325.39,1316.67
1341.55,1337.41,1322.59,1318.45
1341.82,1336.33,1323.67,1318.18
1337.17,1339.26,1320.74,1322.83
1341.80,1337.71,1322.29,1318.20
1338.91,1337.33,1322.67,1321.09
1339.00,1336.20,1323.80,1321.00
1338.54,1335.73,1324.27,1321.46
1337.97,1336.42,1323.58,1322.03
1337.39,1331.96,1328.04,1322.61
1335.49,1333.82,1326.18,1324.51
1332.69,1332.45,1327.55,1327.31
1333.76,1331.08,1328.92,1326.24
1330.84,1328.15,1331.85,1329.16
1326.51,1325.11,1334.89,1333.49
1328.43,1324.51,1335.49,1331.57
1326.85,1326.67,1333.33,1333.15
1326.68,1325.44,1334.56,1333.32
1329.51,1327.05,1332.95,1330.49
1328.28,1328.50,1331.50,1331.72
1331.39,1329.10,1330.90,1328.61
1331.26,1331.50,1328.50,1328.74
1332.38,1331.57,1328.43,1327.62
1331.10,1334.15,1325.85,1328.90
1332.87,1333.89,1326.11,1327.13
1331.61,1333.94,1326.06,1328.39
1334.10,1338.11,1321.89,1325.90
1335.43,1333.32,1326.68,1324.57
1335.68,1336.06,1323.94,1324.32
1336.44,1331.78,1328.22,1323.56
1336.18,1336.39,1323.61,1323.82
1336.86,1334.55,1325.45,1323.14
1335.22,1334.09,1325.91,1324.78
1333.37,1336.05,1323.95,1326.63
1333.31,1333.76,1326.24,1326.69
1332.61,1335.76,1324.24,1327.39
1331.21,1335.95,1324.05,1328.79
1333.00,1334.16,1325.84,1327.00
1331.63,1334.22,1325.78,1328.37
1332.81,1332.98,1327.02,1327.19
1334.07,1336.93,1323.07,1325.93
1336.62,1334.44,1325.56,1323.38
1338.24,1334.50,1325.50,1321.76
1337.81,1335.17,1324.83,1322.19
1336.89,1333.99,1326.01,1323.11
1333.81,1338.56,1321.44,1326.19
1333.76,1336.27,1323.73,1326.24
1336.91,1334.45,1325.55,1323.09
1337.16,1338.37,1321.63,1322.84
1337.28,1338.55,1321.45,1322.72
1334.25,1337.03,1322.97,1325.75
1338.05,1337.06,1322.94,1321.95
1337.64,1336.56,1323.44,1322.36
1337.24,1334.73,1325.27,1322.76
1335.42,1339.15,1320.85,1324.58
1337.44,1334.95,1325.05,1322.56
1335.56,1334.30,1325.70,1324.44
1329.68,1328.30,1331.70,1330.32
1320.52,1324.17,1335.83,1339.48
1304.70,1302.20,1357.80,1355.30
1324.17,1299.28,1360.72,1335.83
1329.50,1293.69,1366.31,1330.50
1335.76,1307.35,1352.65,1324.24
1334.24,1316.47,1343.53,1325.76
1331.17,1320.51,1339.49,1328.83
1329.07,1335.36,1324.64,1330.93
1330.93,1342.52,1317.48,1329.07
1333.48,1339.00,1321.00,1326.52
1331.03,1342.09,1317.91,1328.97
1329.67,1339.63,1320.37,1330.33
1332.76,1330.59,1329.41,1327.24
1330.92,1326.05,1333.95,1329.08
1330.91,1327.27,1332.73,1329.09
1332.16,1328.38,1331.62,1327.84
1331.56,1330.25,1329.75,1328.44
1332.22,1329.72,1330.28,1327.78
1330.96,1328.46,1331.54,1329.04
1331.58,1327.76,1332.24,1328.42
1331.58,1330.24,1329.76,1328.42
1331.59,1329.06,1330.94,1328.41
1331.59,1327.78,1332.22,1328.41
1331.60,1328.96,1331.04,1328.40
1332.24,1329.59,1330.41,1327.76
1331.00,1328.35,1331.65,1329.00
1331.61,1328.95,1331.05,1328.39
1331.62,1328.94,1331.06,1328.38
1331.62,1328.94,1331.06,1328.38
1331.63,1328.94,1331.06,1328.37
1330.98,1326.97,1333.03,1329.02
1332.23,1328.15,1331.85,1327.77
1330.99,1326.78,1333.22,1329.01
